food_name,calories_kcal,carbohydrates_g,protein_g,fat_g,fiber_g
Vegetable Khichdi,423,43.75,23.68,17.03,12.23
Vegetable Biryani,347,23.07,19.72,19.54,14.15
Paneer Curry,212,0.0,34.3,18.36,5.25
Rice and Dal,330,2.0,25.04,24.65,14.79
Vegetable Soup,250,49.16,4.65,3.86,2.46
Fruit Salad,263,33.61,3.59,12.69,13.63
Curd Rice,371,49.42,23.03,9.02,10.91
Vegetable Khichdi,376,9.17,31.84,23.55,1.01
Vegetable Soup,213,0.0,15.11,18.65,2.18
Idli,375,25.05,25.12,19.37,6.75
Vegetable Khichdi,219,0.0,19.25,16.42,11.22
Vegetable Khichdi,130,3.91,3.25,11.26,4.57
Oats Porridge,407,77.82,10.54,5.95,1.05
Fish Curry,255,0.22,33.96,13.14,11.67
Oats Porridge,394,46.31,29.51,10.08,10.31
Dosa,102,0.0,14.03,21.68,11.32
Oats Porridge,335,40.53,17.84,11.28,6.82
Dosa,360,60.46,12.1,7.75,4.82
Idli,325,30.0,25.06,11.64,8.69
Vegetable Soup,371,24.58,20.85,21.03,9.11
Dosa,441,54.97,13.61,18.52,6.74
Vegetable Khichdi,235,26.48,24.93,3.26,5.21
Chapati with Curry,207,0.0,20.57,18.7,6.06
Paneer Curry,144,3.09,28.64,1.9,5.83
Vegetable Khichdi,335,27.63,25.9,13.43,3.48
Dosa,224,29.53,17.09,4.17,5.92
Fruit Salad,412,34.75,29.78,17.1,2.73
Dosa,156,0.0,16.16,12.03,13.68
Vegetable Soup,335,35.86,23.97,10.63,8.98
Vegetable Soup,210,42.78,5.49,1.88,8.97
Grilled Chicken,443,35.45,29.89,20.18,2.44
Rice and Dal,408,37.99,15.25,21.67,14.39
Rice and Dal,396,56.68,31.14,4.97,6.85
Egg Omelette,323,22.22,23.79,15.44,9.16
Fruit Salad,119,0.0,33.15,12.92,6.94
Vegetable Khichdi,142,0.65,24.21,4.73,10.35
Vegetable Khichdi,156,10.05,13.94,6.67,3.22
Vegetable Khichdi,334,55.12,21.61,3.01,11.9
Oats Porridge,294,23.66,31.93,7.96,7.06
Vegetable Soup,207,22.98,4.85,10.63,14.3
Chapati with Curry,163,0.0,17.2,21.97,14.25
Fish Curry,380,22.98,34.83,16.53,6.82
Paneer Curry,268,11.98,9.39,20.28,6.36
Vegetable Khichdi,218,30.55,12.7,5.0,11.33
Vegetable Biryani,351,57.24,5.6,11.07,2.96
Curd Rice,384,49.11,17.86,12.9,5.02
Chapati with Curry,380,11.54,32.16,22.8,8.89
Fruit Salad,148,14.09,16.12,3.02,6.58
Curd Rice,159,6.3,26.68,3.01,2.17
Vegetable Soup,333,46.45,12.28,10.9,4.29
Grilled Chicken,385,65.19,23.75,3.25,4.33
Oats Porridge,445,94.53,9.41,3.25,13.92
Rice and Dal,437,71.72,18.54,8.44,13.63
Dosa,208,0.0,32.4,9.21,14.58
Rice and Dal,445,88.16,15.13,3.54,3.52
Fruit Salad,109,0.0,17.53,19.88,4.14
Idli,102,0.0,8.12,23.03,13.38
Vegetable Khichdi,153,6.6,10.86,9.24,6.57
Vegetable Khichdi,372,31.89,10.46,22.51,6.39
Rice and Dal,163,0.0,24.22,21.16,11.68
Vegetable Khichdi,306,37.08,8.93,13.55,4.75
Grilled Chicken,261,10.0,29.55,11.42,14.5
Vegetable Biryani,119,0.0,28.32,4.67,10.66
Fruit Salad,108,0.0,22.7,4.14,1.67
Vegetable Soup,162,4.14,17.93,8.19,9.54
Rice and Dal,393,33.75,11.65,23.49,6.12
Paneer Curry,144,0.0,24.92,20.61,3.08
Egg Omelette,262,8.69,29.09,12.32,5.91
Vegetable Upma,391,26.7,31.45,17.6,1.07
Oats Porridge,113,0.0,26.93,9.42,7.85
Vegetable Soup,366,11.68,29.4,22.41,6.52
Oats Porridge,410,62.75,22.02,7.88,5.66
Rice and Dal,81,0.0,15.59,14.69,14.53
Oats Porridge,164,0.0,23.84,24.62,9.41
Fruit Salad,116,0.0,34.44,11.66,14.79
Fruit Salad,99,0.0,32.38,19.07,2.93
Vegetable Biryani,181,0.0,31.92,7.43,6.0
Fish Curry,134,0.0,34.12,1.45,11.5
Grilled Chicken,402,65.69,4.08,13.66,4.6
Oats Porridge,136,0.0,29.69,10.58,10.47
Vegetable Soup,428,53.23,21.26,14.45,5.77
Curd Rice,412,25.85,29.61,21.13,12.19
Chapati with Curry,330,0.0,34.66,21.81,11.14
Oats Porridge,175,0.0,27.52,7.95,2.93
Vegetable Biryani,396,47.92,16.95,15.17,6.88
Vegetable Khichdi,185,0.0,20.39,24.21,13.24
Oats Porridge,167,22.74,10.1,3.96,2.9
Fish Curry,400,47.0,23.07,13.3,13.51
Vegetable Soup,361,42.5,6.82,18.19,7.85
Idli,317,11.22,30.61,16.63,11.68
Rice and Dal,337,37.67,5.63,18.2,6.14
Dosa,332,54.08,3.99,11.08,5.0
Vegetable Soup,135,0.0,27.1,3.5,9.6
Fish Curry,362,35.3,25.34,13.27,14.12
Paneer Curry,284,1.27,18.45,22.79,10.17
Fish Curry,395,52.17,4.62,18.65,4.23
Fish Curry,217,16.02,8.06,13.41,6.45
Oats Porridge,390,57.11,19.35,9.35,2.28
Fruit Salad,341,42.48,2.43,17.93,1.25
Vegetable Upma,88,0.0,11.81,20.35,9.57
Chapati with Curry,445,38.77,27.05,20.19,3.41
Vegetable Upma,248,0.0,18.63,22.44,10.0
Rice and Dal,228,0.0,7.48,24.78,9.82
Curd Rice,388,66.46,21.38,4.07,10.46
Paneer Curry,150,0.33,26.06,4.94,11.5
Rice and Dal,101,0.0,30.78,10.97,4.07
Vegetable Soup,178,0.0,9.93,21.7,7.62
Paneer Curry,156,24.83,10.14,1.79,7.24
Dosa,300,28.62,24.06,9.92,4.6
Grilled Chicken,242,19.6,25.33,6.92,3.28
Grilled Chicken,155,0.0,18.69,19.88,9.47
Fish Curry,145,0.0,17.57,11.87,9.56
Vegetable Upma,368,45.28,4.04,18.97,13.13
Chapati with Curry,300,28.27,4.21,18.9,5.15
Chapati with Curry,228,0.0,28.62,19.87,3.48
Vegetable Soup,294,11.78,26.89,15.48,3.89
Egg Omelette,121,0.0,4.6,15.54,7.87
Dosa,411,68.16,20.01,6.48,5.95
Paneer Curry,85,0.0,17.49,24.75,7.07
Curd Rice,213,17.49,13.8,9.76,7.41
Vegetable Upma,152,0.0,28.42,8.01,7.04
Dosa,410,64.7,20.07,7.88,14.64
Curd Rice,349,43.56,3.28,17.96,11.39
Vegetable Biryani,450,90.12,8.29,6.26,5.28
Paneer Curry,126,0.0,34.51,4.41,1.04
Vegetable Upma,89,0.0,19.26,16.42,2.34
Idli,105,0.0,31.13,6.88,2.96
Vegetable Biryani,185,23.2,13.02,4.46,6.95
Vegetable Upma,319,28.95,34.69,7.16,6.76
Vegetable Khichdi,416,49.36,27.93,11.87,2.41
Chapati with Curry,166,0.0,7.23,21.8,4.9
Grilled Chicken,166,11.58,2.56,12.16,10.98
Oats Porridge,440,41.58,23.65,19.9,2.4
Vegetable Khichdi,111,0.0,31.38,9.83,9.34
Egg Omelette,235,0.0,34.65,14.59,3.32
Curd Rice,293,43.98,22.59,2.97,14.74
Dosa,82,0.0,8.13,9.42,11.87
Dosa,241,18.94,3.13,16.97,1.64
Vegetable Khichdi,192,0.0,23.05,16.96,11.01
Vegetable Soup,358,59.9,12.68,7.52,4.64
Paneer Curry,273,0.0,25.31,21.86,5.06
Dosa,224,0.0,28.34,17.74,12.61
Curd Rice,356,67.3,17.38,1.92,1.56
Fruit Salad,84,0.0,31.08,1.97,14.53
Oats Porridge,136,0.0,10.86,14.67,12.94
Idli,265,24.09,12.62,13.13,11.4
Vegetable Biryani,416,73.0,9.24,9.67,11.35
Idli,278,37.52,17.71,6.34,9.11
Chapati with Curry,331,69.6,9.73,1.52,14.84
Dosa,160,0.0,18.59,22.69,10.76
Oats Porridge,304,2.48,31.49,18.68,9.49
Paneer Curry,117,0.0,31.82,10.48,9.72
Idli,432,49.62,18.44,17.75,2.21
Vegetable Soup,114,0.0,17.44,23.44,8.31
Egg Omelette,266,34.22,22.58,4.31,13.22
Dosa,396,37.99,26.34,15.41,9.78
Idli,380,61.65,13.44,8.85,4.94
Dosa,196,0.0,14.25,21.75,9.91
Egg Omelette,108,0.0,20.49,19.91,9.31
Vegetable Biryani,326,64.39,8.92,3.64,10.19
Egg Omelette,174,0.74,3.34,17.52,5.39
Dosa,113,0.0,24.04,18.48,7.53
Grilled Chicken,442,53.49,10.23,20.79,13.41
Fish Curry,381,15.97,27.13,23.18,12.96
Fruit Salad,170,0.0,34.95,16.13,9.39
Vegetable Upma,193,0.0,29.27,14.17,4.51
Curd Rice,405,62.17,10.26,12.81,7.42
Curd Rice,93,0.0,3.75,19.19,6.14
Vegetable Soup,233,24.48,21.89,5.28,11.42
Vegetable Soup,233,1.52,13.21,19.34,13.69
Fish Curry,439,53.98,11.04,19.88,5.66
Oats Porridge,103,0.0,28.1,20.6,8.93
Fruit Salad,357,48.94,17.47,10.15,8.76
Paneer Curry,321,9.9,18.31,23.13,11.15
Grilled Chicken,242,45.54,4.95,4.45,8.88
Paneer Curry,364,66.9,21.6,1.11,14.1
Vegetable Upma,120,0.0,15.33,21.94,1.76
Chapati with Curry,295,37.33,5.51,13.74,9.07
Egg Omelette,367,32.37,25.36,15.12,7.64
Fruit Salad,262,3.6,12.96,21.75,1.53
Vegetable Upma,97,0.0,31.71,15.27,3.4
Vegetable Biryani,376,23.96,23.35,20.75,8.66
Vegetable Biryani,393,32.7,34.12,13.97,9.06
Paneer Curry,144,20.89,7.08,3.57,13.96
Oats Porridge,84,0.0,33.33,23.99,1.82
Vegetable Khichdi,225,0.0,19.96,17.06,7.09
Vegetable Biryani,187,0.0,33.47,12.55,14.96
Egg Omelette,170,0.0,31.72,15.07,8.52
Fruit Salad,185,4.67,25.06,7.34,9.41
Egg Omelette,329,22.65,26.57,14.68,9.6
Chapati with Curry,312,6.76,25.14,20.49,3.37
Rice and Dal,402,81.51,7.58,5.07,10.01
Egg Omelette,373,64.64,11.78,7.48,2.59
Rice and Dal,428,57.84,9.25,17.74,10.52
Dosa,252,13.83,16.68,14.44,2.07
Egg Omelette,195,0.0,26.47,12.72,14.42
Egg Omelette,175,1.09,34.24,3.74,10.34
Fruit Salad,88,0.0,6.54,13.78,5.85
Curd Rice,357,46.69,24.99,7.81,8.89
Vegetable Khichdi,347,27.94,16.89,18.63,7.31
Fruit Salad,139,0.0,29.65,24.99,7.45
Chapati with Curry,219,45.56,2.89,2.8,6.0
Curd Rice,361,42.31,22.85,11.15,14.3
Vegetable Khichdi,437,94.85,6.64,3.45,13.1
Grilled Chicken,231,7.1,17.98,14.52,11.33
Curd Rice,432,50.72,33.12,10.74,9.93
Vegetable Khichdi,126,9.22,4.46,7.92,11.68
Vegetable Upma,144,0.0,22.59,16.96,13.0
Vegetable Biryani,420,58.89,15.62,13.55,13.28
Idli,322,5.83,32.75,18.63,13.12
Paneer Curry,133,23.33,6.07,1.71,10.88
Vegetable Biryani,129,9.44,10.44,5.5,14.94
Fruit Salad,144,5.31,18.65,5.35,4.52
Egg Omelette,167,1.51,23.52,7.43,10.13
Curd Rice,187,23.47,14.44,3.93,13.76
Paneer Curry,280,4.91,26.91,16.97,7.85
Vegetable Upma,448,52.42,25.42,15.18,9.26
Vegetable Biryani,152,0.0,11.63,13.79,11.45
Grilled Chicken,367,78.47,5.38,3.51,10.87
Rice and Dal,386,21.5,25.9,21.82,7.8
Curd Rice,387,62.04,14.73,8.88,9.89
Dosa,270,16.96,6.96,19.37,7.41
Fruit Salad,345,25.9,22.39,16.87,7.2
Vegetable Soup,209,31.31,18.19,1.22,11.24
Egg Omelette,287,0.0,20.9,23.37,14.32
Vegetable Upma,107,0.0,4.46,20.8,6.79
Vegetable Upma,446,31.23,30.57,22.09,7.66
Vegetable Soup,372,73.9,13.07,2.68,12.33
Vegetable Khichdi,246,14.27,9.52,16.76,2.65
Egg Omelette,328,50.01,16.78,6.76,12.38
Fruit Salad,373,33.79,16.91,18.91,8.45
Vegetable Khichdi,426,45.87,17.14,19.33,12.35
Grilled Chicken,246,8.56,27.42,11.34,10.14
Oats Porridge,120,0.0,22.97,6.87,7.36
Grilled Chicken,143,0.0,28.68,16.91,4.63
Chapati with Curry,104,0.0,14.59,24.92,4.08
Vegetable Upma,180,2.29,21.54,9.41,1.86
Paneer Curry,230,2.44,12.45,18.94,4.83
Idli,293,57.86,11.9,1.55,11.93
Paneer Curry,118,0.0,20.42,24.32,7.38
Paneer Curry,182,9.05,18.63,7.92,14.2
Curd Rice,402,51.95,2.34,20.54,10.7
Curd Rice,320,6.35,26.35,21.02,3.18
Fruit Salad,425,97.31,2.71,2.77,14.72
Idli,223,4.82,23.75,12.08,4.89
Grilled Chicken,254,0.0,33.09,24.51,10.1
Vegetable Khichdi,277,26.89,21.77,9.15,5.62
Fruit Salad,89,0.0,14.05,15.18,12.43
Fruit Salad,244,7.9,17.55,15.8,13.76
Vegetable Upma,239,21.69,3.39,15.41,8.18
Fish Curry,257,48.03,7.92,3.69,3.65
Egg Omelette,374,30.73,23.1,17.63,3.37
Grilled Chicken,147,0.0,32.31,18.22,7.33
Oats Porridge,153,0.0,3.15,20.54,4.06
Grilled Chicken,208,0.0,24.66,15.35,8.53
Fruit Salad,326,13.98,18.6,21.74,2.07
Rice and Dal,90,0.0,11.22,9.12,2.98
Fish Curry,348,74.52,7.44,2.24,4.48
Dosa,254,2.55,8.8,23.18,5.95
Chapati with Curry,400,66.77,4.21,12.9,8.22
Paneer Curry,295,33.88,31.73,3.62,11.5
Rice and Dal,181,6.38,4.22,15.4,5.52
Idli,114,0.0,26.45,13.51,13.25
Vegetable Upma,279,0.0,33.82,17.22,2.1
Fish Curry,392,66.93,24.79,2.79,11.66
Vegetable Khichdi,427,51.35,31.1,10.8,8.96
Vegetable Khichdi,135,0.0,20.44,11.22,12.85
Oats Porridge,212,33.02,9.34,4.73,1.68
Paneer Curry,140,0.0,10.21,20.27,8.13
Curd Rice,356,18.94,20.52,22.02,13.2
Dosa,156,4.94,26.61,3.31,9.73
Egg Omelette,390,78.12,9.82,4.25,12.13
Dosa,445,33.49,29.63,21.39,10.03
Grilled Chicken,80,0.0,28.31,21.15,4.23
Curd Rice,426,90.24,2.04,6.32,7.58
Vegetable Soup,143,0.0,25.27,6.4,5.4
Vegetable Soup,249,0.0,34.93,20.24,9.3
Vegetable Soup,174,0.0,10.73,23.76,3.43
Grilled Chicken,363,75.51,11.64,1.6,8.82
Grilled Chicken,92,0.0,29.69,22.13,9.52
Dosa,215,21.12,25.2,3.3,14.88
Vegetable Biryani,293,9.62,34.87,12.78,8.72
Chapati with Curry,241,28.46,18.29,6.0,10.16
Oats Porridge,185,0.0,14.39,24.04,7.12
Vegetable Khichdi,259,21.36,33.35,4.46,8.9
Fruit Salad,289,26.24,12.71,14.8,3.13
Dosa,158,0.0,17.07,12.84,12.88
Vegetable Soup,107,0.0,11.89,17.7,7.5
Fruit Salad,363,71.19,16.21,1.49,4.36
Vegetable Upma,428,66.8,26.93,5.9,12.51
Vegetable Upma,135,0.0,12.77,11.19,9.73
Chapati with Curry,318,29.94,30.84,8.32,12.07
Vegetable Biryani,186,0.0,24.24,14.95,14.81
Chapati with Curry,236,40.23,5.65,5.83,4.63
Paneer Curry,436,25.82,29.11,24.03,1.32
Grilled Chicken,293,37.33,18.53,7.73,10.37
Fruit Salad,259,21.4,32.75,4.71,8.16
Idli,391,63.11,12.93,9.65,12.94
Grilled Chicken,367,23.27,23.66,19.92,11.35
Chapati with Curry,316,45.3,13.11,9.15,1.03
Fish Curry,190,0.0,28.82,8.37,12.94
Vegetable Upma,320,48.61,18.88,5.56,5.06
Idli,440,37.87,30.71,18.41,4.9
Grilled Chicken,314,9.82,34.19,15.33,9.99
Fish Curry,116,0.0,15.01,18.55,5.04
Paneer Curry,174,0.0,25.37,12.45,7.42
Grilled Chicken,87,0.0,24.98,5.78,14.81
Idli,408,69.27,6.65,11.59,5.62
Vegetable Upma,105,0.0,33.93,15.12,8.78
Vegetable Soup,156,3.66,20.76,6.48,13.74
Idli,310,0.0,31.43,20.59,4.56
Vegetable Khichdi,213,0.0,14.59,20.54,1.8
Curd Rice,190,0.0,14.3,23.69,6.48
Fruit Salad,134,0.0,26.22,3.53,3.74
Curd Rice,401,51.12,23.28,11.49,3.1
Oats Porridge,303,24.74,12.29,17.21,10.86
Idli,187,0.0,30.32,8.92,13.51
Egg Omelette,296,15.42,7.53,22.69,8.59
Rice and Dal,396,23.95,31.71,19.26,13.75
Vegetable Biryani,148,0.0,30.95,8.06,13.63
Fruit Salad,351,46.72,19.59,9.53,9.57
Oats Porridge,179,0.0,18.3,21.54,11.38
Idli,264,19.92,21.19,11.06,11.94
Grilled Chicken,104,0.0,33.86,4.7,10.18
Grilled Chicken,281,32.34,22.12,7.02,12.83
Paneer Curry,334,47.82,19.3,7.28,3.27
Rice and Dal,85,0.0,24.91,11.86,8.93
Oats Porridge,324,26.82,17.62,16.25,10.95
Vegetable Upma,181,2.42,31.22,5.16,2.3
Vegetable Biryani,383,45.12,6.76,19.5,11.41
Rice and Dal,286,0.0,31.85,19.4,5.32
Vegetable Upma,290,14.26,19.61,17.17,1.85
Vegetable Khichdi,183,27.76,8.9,4.04,13.7
Vegetable Biryani,232,9.94,4.07,19.55,12.5
Idli,390,43.79,32.31,9.51,6.33
Fruit Salad,226,0.0,27.08,23.55,3.09
Oats Porridge,272,34.52,24.39,4.04,11.69
Fish Curry,228,11.19,9.18,16.28,10.86
Dosa,198,10.65,16.42,9.97,4.48
Vegetable Upma,231,17.52,3.49,16.33,3.95
Grilled Chicken,166,0.0,23.14,13.55,13.59
Egg Omelette,175,0.0,20.7,21.33,11.24
Curd Rice,335,45.36,14.85,10.46,10.98
Vegetable Soup,303,8.03,21.46,20.56,2.81
Vegetable Soup,195,0.0,6.74,22.39,5.27
Rice and Dal,364,26.07,14.08,22.6,8.13
Vegetable Khichdi,225,3.3,24.06,12.84,6.63
Grilled Chicken,83,0.0,19.0,5.59,10.59
Idli,185,0.0,30.09,21.4,1.97
Vegetable Upma,160,26.23,6.68,3.15,6.97
Vegetable Biryani,383,44.03,11.71,17.78,14.91
Oats Porridge,307,21.66,21.47,14.94,13.41
Idli,102,11.93,10.35,1.43,11.41
Vegetable Upma,297,10.09,10.92,23.66,11.11
Egg Omelette,344,47.63,6.8,14.03,3.15
Dosa,331,54.49,10.42,7.93,6.2
Oats Porridge,84,0.0,19.47,19.38,3.84
Egg Omelette,258,23.93,7.13,14.86,8.27
Egg Omelette,202,17.72,7.81,11.1,8.53
Fruit Salad,185,0.0,24.88,12.3,8.48
Vegetable Upma,379,50.23,30.28,6.33,6.38
Chapati with Curry,124,5.47,20.17,2.38,7.19
Chapati with Curry,333,45.34,20.52,7.73,11.64
Vegetable Soup,99,0.0,15.58,24.6,12.48
Vegetable Biryani,152,0.0,4.72,19.18,5.62
Paneer Curry,434,40.01,29.27,17.43,10.81
Egg Omelette,377,61.01,28.97,1.9,13.97
Vegetable Biryani,405,49.76,15.15,16.15,1.87
Vegetable Biryani,283,21.19,2.2,21.05,5.49
Chapati with Curry,249,39.3,5.09,7.94,7.98
Vegetable Khichdi,323,66.19,4.53,4.46,7.69
Paneer Curry,360,42.03,4.43,19.35,7.38
Oats Porridge,392,40.85,10.8,20.6,4.71
Fruit Salad,361,35.42,5.71,21.83,10.08
Paneer Curry,361,36.69,25.95,12.27,6.99
Paneer Curry,228,9.84,29.77,7.73,12.77
Chapati with Curry,259,56.87,5.25,1.17,11.84
Paneer Curry,418,52.64,18.76,14.71,10.74
Egg Omelette,420,29.3,31.51,19.64,2.57
Fish Curry,428,64.72,17.15,11.17,8.43
Vegetable Upma,430,79.46,21.0,3.13,14.8
Fish Curry,159,0.0,17.54,22.04,2.48
Idli,129,22.25,7.61,1.06,14.62
Dosa,438,88.8,10.51,4.53,6.73
Vegetable Biryani,215,0.0,27.67,18.0,14.42
Curd Rice,209,0.0,17.06,17.67,10.16
Vegetable Biryani,134,0.0,27.26,5.9,7.07
Dosa,189,0.0,13.07,17.6,4.38
Vegetable Biryani,429,93.42,9.4,1.97,12.33
Vegetable Biryani,125,0.0,19.28,20.78,10.36
Oats Porridge,303,25.2,8.21,18.82,11.69
Chapati with Curry,379,33.23,34.36,12.07,11.81
Idli,322,34.35,21.33,11.03,12.25
Vegetable Upma,165,0.0,29.37,5.8,11.05
Rice and Dal,327,30.51,33.15,8.04,9.53
Fish Curry,288,39.28,25.7,3.12,3.42
Vegetable Soup,402,66.11,8.54,11.49,6.73
Dosa,325,10.13,21.03,22.26,4.34
Oats Porridge,414,41.62,24.98,16.4,5.86
Oats Porridge,221,31.39,3.11,9.22,3.94
Curd Rice,447,45.02,22.07,19.85,9.19
Fish Curry,439,50.06,24.48,15.65,1.32
Vegetable Upma,250,51.37,3.01,3.61,13.03
Vegetable Soup,330,74.77,4.22,1.56,10.92
Chapati with Curry,365,58.23,17.29,6.99,9.13
Idli,370,35.98,21.58,15.53,9.67
Dosa,228,0.0,8.14,23.4,5.91
Vegetable Upma,121,0.0,2.68,21.95,9.84
Paneer Curry,298,30.56,3.03,18.18,10.86
Egg Omelette,283,31.62,12.89,11.66,11.14
Vegetable Soup,195,11.74,17.95,8.47,5.86
Paneer Curry,382,13.15,31.16,22.75,12.57
Vegetable Soup,405,53.83,27.21,8.98,9.43
Vegetable Upma,131,19.81,4.39,3.8,3.72
Fish Curry,424,37.78,29.59,17.17,14.94
Chapati with Curry,80,0.0,21.01,1.34,6.99
Chapati with Curry,396,73.91,9.41,6.97,7.57
Chapati with Curry,138,0.0,30.06,21.71,11.8
Fruit Salad,110,0.85,13.13,6.01,3.35
Fish Curry,174,0.0,13.31,24.08,7.06
Paneer Curry,401,72.5,20.28,3.32,13.0
Fish Curry,228,40.44,7.97,3.82,10.0
Grilled Chicken,149,0.0,22.74,13.34,8.5
Fish Curry,283,7.61,30.78,14.38,5.52
Vegetable Biryani,145,0.0,31.09,12.31,8.24
Fish Curry,176,0.0,30.33,11.62,7.35
Idli,226,3.11,4.3,21.82,10.88
Vegetable Upma,390,80.14,3.68,6.08,10.05
Chapati with Curry,272,33.52,20.6,6.17,6.31
Vegetable Biryani,138,0.0,26.74,12.67,11.27
Curd Rice,102,3.2,12.71,4.26,5.45
Rice and Dal,297,57.53,8.44,3.68,8.05
Idli,311,62.16,9.6,2.66,5.55
Chapati with Curry,154,0.0,26.0,6.18,12.15
Fruit Salad,84,7.32,6.3,3.28,8.0
Chapati with Curry,412,56.07,3.39,19.35,3.0
Idli,443,39.33,19.62,23.02,12.35
Vegetable Soup,86,0.0,12.98,24.86,1.4
Fish Curry,82,0.0,25.77,24.35,12.55
Vegetable Soup,182,0.0,27.2,10.12,13.84
Vegetable Khichdi,140,0.0,20.65,24.51,2.0
Curd Rice,273,23.39,11.13,14.99,1.94
Rice and Dal,348,42.57,27.22,7.65,13.79
Egg Omelette,168,12.05,11.23,8.32,13.51
Egg Omelette,125,0.0,21.1,5.63,4.46
Fruit Salad,434,25.76,29.55,23.64,10.75
Curd Rice,254,4.42,34.94,10.73,7.3
Vegetable Soup,292,39.12,7.64,11.66,10.89
Vegetable Biryani,312,0.0,31.05,22.82,8.73
Paneer Curry,133,0.0,31.29,15.42,13.33
Vegetable Upma,335,38.66,2.97,18.72,13.1
Curd Rice,385,56.93,19.9,8.63,12.52
Fish Curry,277,45.14,3.23,9.28,6.42
Vegetable Upma,101,0.0,33.19,12.4,8.96
Chapati with Curry,188,0.0,32.14,10.05,4.64
Vegetable Khichdi,211,15.62,29.59,3.35,7.81
Vegetable Upma,198,8.02,23.3,8.08,10.18
Fish Curry,286,40.88,2.14,12.66,8.28
Vegetable Khichdi,109,0.0,16.13,18.96,3.96
Curd Rice,420,87.48,14.1,1.52,11.82
Oats Porridge,110,0.0,9.08,10.7,3.16
Vegetable Upma,292,21.22,17.42,15.27,8.58
Paneer Curry,377,21.51,22.79,22.2,13.04
Egg Omelette,394,89.92,3.83,2.11,5.37
Idli,83,0.0,34.15,9.09,9.33
Curd Rice,319,16.12,29.0,15.39,5.39
Vegetable Soup,368,38.27,18.14,15.82,13.88
Fruit Salad,122,0.0,20.94,21.5,7.59
Vegetable Upma,197,0.0,7.69,18.99,3.03
Vegetable Upma,360,27.58,26.69,15.88,10.02
Vegetable Khichdi,393,53.9,5.29,17.36,2.13
Fish Curry,153,0.0,25.0,15.29,2.82
Dosa,231,10.12,13.99,14.95,5.48
Dosa,305,46.29,18.24,5.21,6.14
Vegetable Khichdi,128,0.0,30.42,16.23,5.75
Vegetable Khichdi,129,0.0,6.36,16.87,6.39
Vegetable Soup,294,33.2,32.9,3.29,12.55
Oats Porridge,261,21.58,20.7,10.21,4.83
Oats Porridge,321,40.31,8.33,14.05,10.33
Dosa,345,32.07,14.2,17.77,9.13
Oats Porridge,365,52.05,25.29,6.18,9.92
Vegetable Biryani,259,28.4,7.28,12.92,5.13
Fish Curry,431,65.32,25.31,7.61,6.17
Vegetable Biryani,230,0.0,33.31,14.4,1.35
Chapati with Curry,436,68.72,21.02,8.56,6.4
Vegetable Upma,343,23.19,33.4,12.96,1.93
Grilled Chicken,364,49.45,26.45,6.71,2.13
Idli,275,55.76,8.15,2.15,6.77
Dosa,126,0.0,11.69,19.69,14.14
Oats Porridge,244,35.14,20.93,2.19,4.54
Vegetable Upma,134,0.0,30.33,10.57,4.71
Fish Curry,92,0.88,17.22,2.18,5.33
Fruit Salad,95,0.0,21.0,8.75,3.94
Vegetable Biryani,186,18.04,3.06,11.29,11.9
Vegetable Biryani,418,55.35,6.94,18.76,14.25
Vegetable Khichdi,416,25.03,29.31,22.07,9.24
Paneer Curry,159,1.87,6.97,13.74,3.98
Vegetable Upma,105,0.0,9.19,16.68,5.99
Rice and Dal,354,76.49,5.91,2.71,12.84
Rice and Dal,213,0.0,22.36,22.55,12.71
Chapati with Curry,386,73.64,10.94,5.3,13.92
Rice and Dal,334,39.01,32.68,5.25,9.64
Grilled Chicken,347,20.5,22.89,19.27,3.48
Egg Omelette,311,0.0,30.53,23.26,9.62
Paneer Curry,377,78.62,12.39,1.44,4.71
Vegetable Biryani,122,0.0,17.38,13.84,1.34
Dosa,384,20.38,24.37,22.78,12.81
Oats Porridge,297,31.58,2.46,17.87,4.76
Fish Curry,153,0.0,27.29,19.56,8.45
Vegetable Soup,442,72.55,5.48,14.43,10.45
Idli,124,0.0,22.49,24.35,14.86
Idli,204,0.0,17.07,21.89,9.73
Idli,166,3.98,29.04,3.77,13.83
Grilled Chicken,173,0.0,23.5,14.14,8.76
Chapati with Curry,124,0.0,13.11,18.18,2.17
Oats Porridge,236,0.0,33.9,17.18,11.96
Vegetable Soup,377,63.23,14.69,7.26,6.15
Dosa,90,0.0,26.66,13.48,14.51
Dosa,317,43.61,30.67,2.21,13.13
Chapati with Curry,316,67.92,4.8,2.79,3.2
Egg Omelette,86,0.0,4.59,12.08,4.56
Oats Porridge,355,50.98,7.84,13.3,3.34
Fruit Salad,409,62.86,22.99,7.29,10.88
Chapati with Curry,127,0.0,19.98,17.23,9.44
Paneer Curry,224,28.6,7.4,8.89,8.95
Oats Porridge,328,28.75,32.62,9.17,12.45
Curd Rice,293,50.8,6.88,6.92,10.32
Rice and Dal,86,0.0,25.38,13.4,10.98
Vegetable Khichdi,165,6.84,7.93,11.77,14.62
Vegetable Khichdi,107,0.0,11.24,7.05,9.75
Grilled Chicken,208,40.61,2.32,4.03,5.29
Grilled Chicken,242,0.0,20.46,19.64,10.98
Grilled Chicken,299,0.0,30.36,24.51,8.38
Vegetable Soup,86,0.0,17.21,24.68,8.49
Vegetable Biryani,423,34.53,19.34,23.06,3.4
