food_id,food_name,meal_type,diet_type,calories_kcal,carbohydrates_g,protein_g,fat_g,fiber_g,calcium_mg,magnesium_mg,iron_mg,zinc_mg,vitamin_A,vitamin_B1,vitamin_B2,vitamin_B12,vitamin_C,vitamin_D,vitamin_E,vitamin_K,vitamin_H
153,Vegetable Biryani,Lunch,Veg,409,17.68,34.51,22.25,14.06,47.02,11.36,6.37,4.46,34.99,26.52,50.83,82.04,67.81,35.83,65.82,28.17,66.62
154,Fish Curry,Dinner,Non-Veg,328,32.27,17.94,14.13,12.22,293.98,102.14,0.52,0.39,4.39,66.72,12.42,77.94,66.68,65.39,75.55,58.1,50.39
155,Idli,Breakfast,Veg,341,37.75,31.23,7.23,8.0,64.04,109.33,2.97,1.7,21.23,89.72,55.04,11.58,53.06,4.08,57.05,63.09,87.87
156,Paneer Curry,Dinner,Veg,265,21.42,10.74,15.15,7.38,113.69,69.9,6.93,4.16,60.32,68.96,42.9,22.37,49.58,14.38,51.09,49.91,63.56
157,Dosa,Breakfast,Veg,296,44.34,25.48,1.86,5.36,65.21,99.71,3.14,1.91,34.29,88.58,21.15,77.82,56.4,73.55,43.96,77.92,53.92
158,Dosa,Breakfast,Veg,130,17.41,8.61,2.88,2.86,139.88,45.45,0.84,3.73,3.31,26.46,66.07,38.63,22.83,18.47,66.9,34.6,15.95
159,Oats Porridge,Breakfast,Veg,231,7.38,4.72,20.29,14.47,63.54,117.84,4.32,1.25,64.34,42.97,81.92,89.54,8.26,54.43,22.3,76.97,23.82
160,Vegetable Soup,Dinner,Veg,156,18.01,12.24,3.89,8.96,52.84,67.17,5.38,2.75,88.6,14.33,53.36,26.0,48.96,50.8,50.92,68.05,29.98
161,Egg Omelette,Dinner,Non-Veg,233,1.8,16.27,17.86,2.92,198.94,22.06,5.76,4.47,35.73,51.86,31.41,30.72,31.91,41.7,2.51,11.44,50.94
162,Vegetable Upma,Breakfast,Veg,156,0.0,3.59,19.85,11.85,138.93,109.28,4.47,0.93,64.36,67.67,1.24,46.24,83.71,32.61,36.48,1.41,45.58
163,Vegetable Upma,Breakfast,Veg,104,0.0,11.33,17.04,2.07,40.26,104.6,1.22,2.85,27.98,39.84,15.81,44.78,82.18,3.1,12.39,1.88,54.36
164,Fish Curry,Dinner,Non-Veg,140,0.0,16.3,13.44,5.26,211.49,30.73,1.9,2.02,8.91,87.98,19.39,35.22,72.67,86.56,35.09,84.52,15.29
165,Rice and Dal,Lunch,Veg,276,11.09,8.7,21.87,2.79,112.71,62.24,6.33,4.9,16.1,70.44,55.65,0.81,38.11,61.42,1.86,2.63,66.35
166,Vegetable Soup,Dinner,Veg,315,39.93,28.74,4.48,4.55,233.4,36.61,2.96,2.91,0.84,21.93,76.48,68.4,28.29,66.19,51.52,64.06,0.66
167,Egg Omelette,Dinner,Non-Veg,351,69.42,11.89,2.86,2.64,306.66,46.66,5.35,2.62,51.48,38.19,85.98,24.94,22.08,5.13,77.46,3.64,2.56
168,Paneer Curry,Dinner,Veg,187,10.13,14.28,9.93,12.52,209.8,110.26,5.98,2.78,40.91,59.43,88.8,0.16,14.66,23.19,42.78,16.35,81.81
169,Paneer Curry,Dinner,Veg,334,56.4,7.28,8.81,14.3,190.14,94.01,2.42,2.29,18.51,42.92,52.27,45.5,85.47,23.63,87.92,51.89,52.12
170,Vegetable Khichdi,Dinner,Veg,121,0.0,10.85,17.56,7.39,27.9,119.43,6.33,1.47,73.02,36.83,77.78,84.36,32.22,65.2,21.19,4.02,20.43
171,Fruit Salad,Breakfast,Veg,323,51.38,2.96,11.74,14.85,106.4,29.17,4.91,1.26,8.59,68.05,42.5,81.29,78.71,44.19,52.22,82.92,15.37
172,Oats Porridge,Breakfast,Veg,118,0.0,23.21,4.86,14.52,95.14,49.76,6.03,1.22,25.94,52.94,25.11,19.28,29.79,53.15,34.06,42.65,43.56
173,Dosa,Breakfast,Veg,196,0.0,28.08,15.43,10.48,211.93,72.95,0.77,3.09,3.4,29.79,74.32,63.77,55.54,20.84,2.1,85.03,38.31
174,Vegetable Soup,Dinner,Veg,228,0.0,33.62,24.71,1.98,105.91,19.23,6.65,4.69,35.58,85.85,50.33,13.67,61.17,32.63,81.84,79.67,81.1
175,Vegetable Upma,Breakfast,Veg,112,0.0,17.4,18.55,7.45,128.73,119.43,7.3,1.26,48.91,40.26,86.18,13.64,0.66,33.16,81.46,54.02,60.24
176,Vegetable Khichdi,Dinner,Veg,261,13.5,22.95,12.8,13.06,263.95,19.81,4.95,1.65,50.82,6.36,48.34,46.53,10.3,70.31,76.82,82.01,39.4
177,Fruit Salad,Breakfast,Veg,334,29.65,22.8,13.8,5.63,220.94,86.96,3.28,3.1,12.88,0.83,61.52,30.1,84.93,33.32,39.84,16.43,50.88
178,Oats Porridge,Breakfast,Veg,362,53.42,25.29,5.24,1.48,55.04,101.57,0.7,4.1,89.65,78.07,84.0,40.01,32.12,31.99,89.46,22.86,54.7
179,Oats Porridge,Breakfast,Veg,84,0.0,7.6,11.02,4.98,244.8,104.42,0.92,0.33,78.39,17.57,42.42,39.57,87.28,82.92,41.42,16.83,85.0
180,Curd Rice,Lunch,Veg,391,45.06,25.01,12.3,10.06,268.98,102.91,0.62,0.41,49.04,75.59,18.46,16.62,10.06,50.8,72.87,6.54,71.2
181,Fish Curry,Dinner,Non-Veg,139,0.0,10.78,17.56,13.28,243.46,19.65,7.68,1.34,63.31,72.61,39.87,67.94,83.55,14.85,44.52,52.75,70.31
182,Vegetable Upma,Breakfast,Veg,431,82.06,3.84,9.71,10.57,144.76,76.19,4.51,2.78,14.1,77.35,32.52,50.79,48.02,55.79,87.7,24.85,4.23
183,Dosa,Breakfast,Veg,330,12.77,27.45,18.79,7.58,347.83,37.94,4.34,4.46,84.87,46.84,77.58,1.77,11.7,32.39,84.17,63.66,45.22
184,Curd Rice,Lunch,Veg,343,8.94,27.78,21.79,5.06,175.57,83.79,1.48,3.14,73.97,25.85,71.95,79.53,89.54,53.02,59.24,36.42,5.8
185,Oats Porridge,Breakfast,Veg,415,61.17,11.37,13.87,6.99,285.49,113.22,1.31,0.3,66.12,30.63,1.46,2.61,7.08,48.27,26.01,66.45,17.81
186,Paneer Curry,Dinner,Veg,381,21.6,28.4,20.11,13.38,167.27,88.92,1.85,2.52,34.2,19.44,8.35,28.39,50.45,74.29,58.77,37.44,19.58
187,Vegetable Upma,Breakfast,Veg,380,21.95,20.6,23.31,3.34,174.59,113.5,5.4,4.5,15.27,39.76,72.76,75.71,66.47,74.52,71.03,86.64,37.55
188,Grilled Chicken,Lunch,Non-Veg,242,34.41,21.91,1.86,4.4,261.58,90.89,1.59,3.18,84.8,61.23,53.61,16.22,82.11,77.64,45.07,70.62,53.75
189,Grilled Chicken,Lunch,Non-Veg,221,9.8,17.14,12.58,14.98,117.34,13.76,3.26,2.53,3.04,17.03,36.1,85.64,74.4,80.15,51.62,53.03,42.54
190,Rice and Dal,Lunch,Veg,443,68.91,7.82,15.12,10.0,101.2,81.58,5.76,1.13,45.02,24.7,40.98,53.08,61.62,47.96,1.64,61.17,61.39
191,Vegetable Upma,Breakfast,Veg,324,20.4,31.62,12.88,10.78,168.29,83.64,5.06,3.9,85.52,59.87,25.98,45.7,0.87,60.44,52.92,77.0,61.86
192,Chapati with Curry,Lunch,Veg,374,63.49,23.28,2.99,7.54,239.32,119.31,2.95,2.24,88.43,7.92,26.67,53.16,16.24,15.24,19.66,41.85,10.4
193,Paneer Curry,Dinner,Veg,324,42.08,19.88,8.46,6.45,305.74,39.55,6.21,4.57,46.38,65.65,32.16,26.76,65.08,14.09,76.39,32.51,12.0
194,Dosa,Breakfast,Veg,403,49.71,7.14,19.51,8.79,267.51,85.27,0.52,0.34,50.66,8.47,81.79,52.65,3.85,36.58,40.35,9.8,46.4
195,Vegetable Biryani,Lunch,Veg,207,3.28,17.4,13.81,5.9,222.96,47.7,0.56,3.93,24.51,18.13,76.4,71.01,4.33,1.1,49.82,57.07,80.26
196,Vegetable Biryani,Lunch,Veg,151,0.0,9.92,24.43,9.45,67.75,29.69,5.38,0.48,82.3,60.24,69.78,29.03,36.35,72.41,81.77,31.01,70.43
197,Egg Omelette,Dinner,Non-Veg,129,0.0,28.77,9.66,1.34,306.94,30.81,3.24,1.95,14.84,22.29,15.99,8.5,49.32,68.75,68.99,0.62,77.99
198,Oats Porridge,Breakfast,Veg,312,50.34,4.15,10.45,8.99,288.52,111.32,1.53,0.62,83.76,36.92,38.88,3.0,15.03,0.17,79.74,11.29,80.35
199,Fruit Salad,Breakfast,Veg,421,53.84,30.49,9.3,3.59,180.5,106.79,7.54,0.31,88.98,45.79,17.25,73.01,79.26,74.85,62.75,43.89,50.14
200,Vegetable Soup,Dinner,Veg,365,50.28,8.93,14.24,4.3,348.41,35.47,6.42,2.53,88.14,43.23,33.1,87.05,65.2,58.75,9.26,4.48,64.21
201,Vegetable Soup,Dinner,Veg,252,18.95,28.59,6.87,9.52,179.01,45.35,4.16,3.49,37.62,85.74,47.45,21.04,11.82,45.58,44.93,16.7,46.22
202,Grilled Chicken,Lunch,Non-Veg,332,41.3,32.72,3.99,7.17,234.4,42.88,4.1,0.94,39.39,66.86,21.18,32.55,20.61,48.52,42.56,68.75,51.88
203,Grilled Chicken,Lunch,Non-Veg,303,26.64,13.61,15.78,7.08,139.47,106.22,4.16,3.02,69.03,5.64,70.61,69.44,48.24,32.1,35.51,43.89,55.35
204,Chapati with Curry,Lunch,Veg,310,53.05,4.99,8.65,9.13,55.1,33.7,3.76,2.41,50.94,60.71,70.65,32.24,23.79,19.26,34.92,31.26,76.73
205,Chapati with Curry,Lunch,Veg,123,0.0,23.69,20.33,5.27,291.22,50.73,1.23,4.38,14.32,21.72,18.61,68.12,28.09,47.75,72.31,39.63,31.48
206,Oats Porridge,Breakfast,Veg,372,41.25,10.46,18.35,4.88,227.27,12.7,3.03,3.71,70.39,61.97,12.55,41.55,14.91,47.45,37.09,52.66,71.94
207,Chapati with Curry,Lunch,Veg,358,61.91,2.98,10.94,13.62,89.19,71.71,7.39,1.73,77.11,10.67,73.58,11.12,1.86,25.93,79.01,85.34,85.69
208,Dosa,Breakfast,Veg,228,42.23,4.64,4.5,13.72,194.07,38.13,6.07,4.26,74.04,54.79,16.81,23.84,35.73,67.3,15.23,85.49,63.55
209,Oats Porridge,Breakfast,Veg,301,10.11,25.18,17.76,2.86,176.3,102.34,4.46,4.36,5.96,69.82,18.75,40.2,23.48,22.13,3.98,26.45,1.56
210,Vegetable Khichdi,Dinner,Veg,289,18.25,34.92,8.48,5.97,260.63,98.87,1.76,1.23,87.77,26.55,85.52,11.57,40.54,65.44,3.39,80.6,50.21
211,Vegetable Khichdi,Dinner,Veg,365,38.74,33.7,8.36,6.47,173.7,84.75,4.28,1.15,12.7,48.28,75.69,25.55,52.79,10.03,69.7,5.47,43.74
212,Curd Rice,Lunch,Veg,381,25.19,25.06,20.0,1.78,166.17,80.6,6.42,0.51,15.69,33.32,28.34,65.07,6.2,43.32,20.58,27.88,40.51
213,Vegetable Biryani,Lunch,Veg,394,67.58,6.15,11.01,13.52,347.93,100.06,5.92,2.67,89.55,72.44,4.57,2.04,78.94,61.7,4.13,35.4,13.09
214,Chapati with Curry,Lunch,Veg,100,0.0,28.25,19.14,10.91,197.29,112.5,2.82,4.38,27.26,80.71,52.13,39.73,6.95,47.67,35.72,6.17,59.92
215,Grilled Chicken,Lunch,Non-Veg,103,0.0,17.56,10.27,14.97,251.53,21.7,3.95,4.71,40.3,46.07,70.51,83.95,47.13,38.98,47.77,59.38,88.08
216,Fruit Salad,Breakfast,Veg,324,36.32,8.75,15.97,11.85,97.94,30.97,5.38,3.64,63.8,51.06,83.68,68.29,37.43,51.68,59.88,66.11,11.19
217,Paneer Curry,Dinner,Veg,442,49.61,20.84,17.8,12.62,164.75,75.25,2.11,1.53,80.43,25.65,42.49,88.31,63.73,31.02,30.04,88.53,22.38
218,Vegetable Khichdi,Dinner,Veg,149,0.0,31.35,19.5,9.83,307.19,73.88,2.14,1.35,33.67,21.33,2.12,88.43,29.98,53.25,77.82,88.99,68.71
219,Vegetable Biryani,Lunch,Veg,285,23.23,6.87,18.29,6.08,85.89,67.69,6.45,4.03,13.98,88.91,65.03,35.25,89.84,27.47,17.68,78.19,51.94
220,Vegetable Soup,Dinner,Veg,435,30.48,23.01,24.56,3.63,272.96,41.3,6.8,4.52,61.94,72.68,55.01,33.31,62.99,29.28,84.51,39.6,10.26
221,Grilled Chicken,Lunch,Non-Veg,205,8.05,29.86,5.93,12.39,100.18,81.04,6.42,2.7,82.02,46.88,63.18,5.02,80.59,83.66,41.94,37.17,1.08
222,Dosa,Breakfast,Veg,173,0.0,24.14,9.95,2.44,235.15,79.16,6.63,2.88,58.8,5.38,39.47,48.66,41.11,24.87,43.63,50.7,17.95
223,Vegetable Khichdi,Dinner,Veg,323,50.78,13.72,7.22,5.85,311.83,56.59,5.53,2.6,61.75,14.97,21.14,43.04,0.82,82.31,52.16,25.29,39.8
224,Egg Omelette,Dinner,Non-Veg,251,12.63,4.65,20.21,4.42,193.16,16.78,1.31,3.7,25.34,57.28,77.84,33.4,46.45,24.2,84.84,68.05,1.75
225,Egg Omelette,Dinner,Non-Veg,384,13.65,29.32,23.57,4.98,310.98,89.44,6.3,4.19,77.99,28.1,48.45,55.94,41.01,66.46,65.2,37.92,44.85
226,Fish Curry,Dinner,Non-Veg,126,0.0,22.74,8.63,2.22,289.7,19.34,3.71,1.69,54.57,30.45,88.7,57.39,65.02,26.92,33.94,46.98,38.9
227,Rice and Dal,Lunch,Veg,93,0.0,4.11,20.55,8.83,205.37,52.25,2.04,0.58,65.32,65.18,23.83,7.24,41.06,25.64,41.85,39.64,56.25
228,Idli,Breakfast,Veg,422,66.93,5.32,14.78,10.51,158.01,88.22,5.87,4.18,20.85,14.42,52.83,53.48,49.82,39.46,20.87,67.33,40.59
229,Grilled Chicken,Lunch,Non-Veg,177,0.0,18.86,20.24,2.6,332.14,53.64,5.9,0.61,62.49,28.25,3.58,63.58,28.56,57.65,27.79,11.94,13.31
230,Idli,Breakfast,Veg,100,2.62,2.63,8.78,4.12,133.18,75.07,6.26,3.47,79.53,36.98,60.8,40.94,39.53,63.84,71.6,78.16,9.3
231,Idli,Breakfast,Veg,291,19.14,28.77,11.04,6.63,280.26,14.41,2.73,0.97,59.86,58.22,61.41,3.54,55.13,19.53,35.48,58.35,81.6
232,Fish Curry,Dinner,Non-Veg,149,0.0,4.74,15.8,12.75,320.11,38.36,1.66,2.84,43.49,26.78,70.48,48.77,8.05,57.13,88.92,71.74,68.31
233,Fruit Salad,Breakfast,Veg,198,32.55,8.63,3.7,3.33,265.64,70.26,3.27,1.31,7.34,45.96,50.97,4.52,63.01,80.23,25.25,12.81,31.36
234,Chapati with Curry,Lunch,Veg,446,65.99,32.03,5.99,3.13,81.17,27.39,2.34,1.3,6.22,39.81,28.83,32.21,2.17,44.26,32.13,79.07,33.61
235,Idli,Breakfast,Veg,431,56.78,27.03,10.64,12.58,292.81,117.23,1.41,1.75,79.07,69.05,0.23,19.4,2.53,46.88,2.79,82.21,6.37
236,Fish Curry,Dinner,Non-Veg,108,0.0,33.82,21.01,4.37,264.72,73.26,4.4,0.37,51.44,28.22,47.16,4.81,1.04,83.33,68.05,29.96,44.45
237,Chapati with Curry,Lunch,Veg,159,0.0,23.0,11.72,7.11,260.09,75.7,5.39,1.14,14.66,57.71,87.21,59.72,18.97,40.07,44.28,40.04,85.89
238,Chapati with Curry,Lunch,Veg,118,8.14,12.49,3.94,7.78,66.31,91.46,1.23,2.77,38.1,85.57,7.45,82.86,49.5,57.97,4.31,50.43,14.4
239,Vegetable Biryani,Lunch,Veg,185,0.0,29.44,18.61,14.59,209.42,31.06,5.51,4.12,62.37,28.39,44.84,1.97,45.67,84.83,0.76,37.44,40.01
240,Fruit Salad,Breakfast,Veg,362,47.76,2.65,17.82,6.13,339.36,85.05,7.22,1.84,78.87,34.33,29.93,3.51,71.18,58.83,81.56,37.15,23.76
241,Grilled Chicken,Lunch,Non-Veg,219,25.05,7.79,9.74,11.83,264.04,26.48,6.16,3.12,1.34,42.46,23.47,70.61,10.62,43.5,6.33,70.99,33.51
242,Rice and Dal,Lunch,Veg,146,0.0,33.04,10.37,4.78,93.33,114.78,6.81,2.52,20.04,32.5,89.66,82.68,7.47,28.98,84.08,17.61,35.18
243,Vegetable Soup,Dinner,Veg,282,18.05,6.03,20.63,4.69,213.03,98.66,0.99,4.69,48.75,34.94,27.45,89.25,10.61,69.55,79.11,83.66,14.43
244,Fish Curry,Dinner,Non-Veg,420,58.26,13.33,14.85,4.02,325.86,65.25,5.03,3.29,10.66,54.19,13.6,47.06,58.11,84.14,22.08,50.79,3.43
245,Oats Porridge,Breakfast,Veg,430,94.03,3.71,4.34,5.65,76.65,18.97,3.52,3.66,5.34,38.29,31.75,74.84,11.04,56.2,26.56,86.78,7.37
246,Vegetable Khichdi,Dinner,Veg,344,29.97,26.98,12.91,10.84,39.66,88.24,2.46,3.23,65.83,55.19,19.0,46.28,2.34,6.21,70.87,6.59,82.07
247,Egg Omelette,Dinner,Non-Veg,151,22.67,10.31,2.12,4.26,321.08,117.05,7.64,3.37,13.31,5.23,75.55,82.29,54.84,75.42,89.95,49.33,59.16
248,Grilled Chicken,Lunch,Non-Veg,354,41.67,11.77,15.58,4.64,295.93,94.35,4.32,0.39,85.85,24.71,45.72,78.04,63.59,81.71,61.39,15.96,52.55
249,Grilled Chicken,Lunch,Non-Veg,155,0.0,21.34,12.19,12.37,77.6,78.17,5.35,4.51,38.65,15.45,44.94,67.25,71.79,77.01,34.81,12.14,81.37
250,Chapati with Curry,Lunch,Veg,113,0.0,23.84,24.42,9.66,100.79,12.04,2.54,4.75,10.48,60.89,63.24,61.39,18.36,27.24,59.36,83.21,1.2
251,Fish Curry,Dinner,Non-Veg,282,28.86,27.65,6.22,13.77,306.44,50.06,3.91,4.79,33.36,34.21,65.06,54.99,7.89,35.27,81.6,35.89,32.03
252,Idli,Breakfast,Veg,148,0.0,10.55,23.17,8.08,195.0,44.76,6.65,2.36,65.86,15.0,23.72,2.89,73.08,46.52,84.58,18.69,16.78
253,Dosa,Breakfast,Veg,108,18.46,3.16,2.39,8.42,108.04,35.16,3.55,4.45,82.36,38.85,8.15,80.08,60.55,64.42,6.89,34.66,57.51
254,Fish Curry,Dinner,Non-Veg,245,0.0,34.99,12.99,13.01,71.87,57.62,3.97,4.9,0.83,81.17,7.29,19.27,69.34,74.27,79.45,85.17,80.14
255,Grilled Chicken,Lunch,Non-Veg,398,62.61,26.81,4.48,8.15,24.17,115.42,7.43,0.33,52.1,31.24,17.81,18.3,55.92,27.35,39.5,72.22,41.44
256,Chapati with Curry,Lunch,Veg,121,0.0,29.49,17.78,4.66,305.88,109.43,1.18,4.48,21.58,85.86,31.6,55.04,49.91,19.12,17.79,62.59,18.73
257,Egg Omelette,Dinner,Non-Veg,282,0.0,32.26,17.87,13.4,258.56,25.23,5.93,3.53,68.22,76.47,38.37,17.11,41.08,35.13,71.37,23.22,33.56
258,Vegetable Upma,Breakfast,Veg,375,43.08,27.9,10.12,2.66,310.6,15.91,3.73,4.73,53.82,3.1,2.07,23.71,70.34,42.89,46.89,19.03,13.83
259,Vegetable Soup,Dinner,Veg,107,0.0,12.3,15.46,3.73,277.87,106.57,6.89,2.71,81.6,17.73,73.82,37.41,73.89,67.65,8.77,85.56,62.95
260,Rice and Dal,Lunch,Veg,416,50.35,12.05,18.49,13.77,347.74,52.22,4.71,4.17,39.53,29.77,5.57,14.86,52.36,49.83,51.14,60.12,77.7
261,Vegetable Biryani,Lunch,Veg,226,28.46,22.01,2.68,3.71,85.15,113.68,1.75,1.67,66.54,16.23,84.65,49.79,51.41,55.68,83.93,22.6,2.18
262,Vegetable Biryani,Lunch,Veg,190,0.0,20.92,18.61,2.43,140.45,35.13,6.47,4.37,32.99,28.88,83.0,65.71,66.83,39.44,4.12,61.0,80.52
263,Oats Porridge,Breakfast,Veg,432,26.79,27.12,24.04,3.47,66.14,91.17,7.98,0.92,80.85,4.08,50.2,50.3,61.32,33.77,46.24,79.35,37.25
264,Vegetable Soup,Dinner,Veg,246,28.64,28.0,2.16,14.79,297.21,89.37,1.18,4.48,67.42,30.51,53.3,73.89,43.4,62.68,49.74,5.63,68.4
265,Rice and Dal,Lunch,Veg,347,60.04,8.37,8.15,3.12,331.08,83.78,0.52,4.34,81.39,36.09,85.8,12.24,21.01,27.13,65.52,88.45,76.58
266,Oats Porridge,Breakfast,Veg,404,35.67,15.27,22.25,12.62,281.07,101.3,5.84,3.22,65.84,5.86,10.83,80.69,49.62,52.9,14.05,75.55,69.1
267,Curd Rice,Lunch,Veg,414,54.42,29.35,8.77,14.09,155.97,95.74,6.8,4.1,71.03,7.59,3.63,70.61,74.04,14.2,65.0,64.55,53.35
268,Chapati with Curry,Lunch,Veg,419,78.41,17.56,3.9,1.88,343.97,62.46,3.45,4.4,27.65,83.21,28.18,57.47,61.94,42.63,20.85,38.98,70.4
269,Fish Curry,Dinner,Non-Veg,173,0.0,28.95,7.71,7.52,198.03,69.25,3.84,0.5,48.72,62.84,32.28,18.02,35.92,46.44,76.77,46.67,18.59
270,Curd Rice,Lunch,Veg,285,31.88,23.82,6.91,5.7,281.5,78.98,7.7,1.94,16.33,17.06,73.18,11.43,31.31,59.29,42.7,66.74,34.02
271,Paneer Curry,Dinner,Veg,275,36.92,12.84,8.44,8.98,167.26,81.68,3.14,0.44,47.0,20.77,65.09,74.2,21.14,53.16,65.07,75.52,58.61
272,Vegetable Biryani,Lunch,Veg,434,60.88,5.73,18.62,8.04,273.17,38.97,1.07,1.44,29.38,66.41,79.22,15.04,80.4,52.44,22.36,88.15,38.19
273,Vegetable Biryani,Lunch,Veg,285,0.0,22.78,23.16,10.33,303.48,94.3,6.42,0.71,25.39,8.23,16.9,36.84,87.89,14.67,22.06,59.32,86.83
274,Oats Porridge,Breakfast,Veg,332,67.68,2.79,5.57,4.68,282.7,106.53,4.98,1.48,25.31,83.19,23.84,44.7,62.04,63.08,7.0,54.01,65.65
275,Curd Rice,Lunch,Veg,301,0.0,33.73,23.54,8.7,94.78,104.92,4.75,1.86,58.38,76.87,8.37,89.48,36.72,16.74,42.54,61.7,74.41
276,Chapati with Curry,Lunch,Veg,123,0.0,17.62,22.47,4.86,36.53,112.83,4.32,4.5,71.46,3.38,40.62,4.32,35.12,22.28,68.55,55.4,46.74
277,Paneer Curry,Dinner,Veg,304,19.83,31.94,10.77,4.07,50.78,84.26,2.46,1.42,50.21,43.29,30.96,65.43,72.35,86.01,1.38,72.07,5.27
278,Grilled Chicken,Lunch,Non-Veg,302,7.38,28.54,17.59,12.05,319.24,92.95,5.65,0.49,81.69,12.76,70.02,61.7,68.1,69.81,71.43,66.81,87.32
279,Vegetable Soup,Dinner,Veg,240,0.0,32.74,18.53,3.96,208.21,42.22,7.62,1.44,31.75,6.65,74.53,87.47,52.48,37.22,14.72,88.9,10.83
280,Curd Rice,Lunch,Veg,199,2.43,32.02,6.8,12.17,176.99,58.87,3.38,2.52,69.95,41.27,78.44,85.58,45.09,22.59,45.89,27.31,78.68
281,Grilled Chicken,Lunch,Non-Veg,443,94.81,10.09,2.6,13.16,106.41,119.59,3.67,0.75,73.52,28.46,74.15,30.1,51.89,83.38,64.9,2.1,66.91
282,Oats Porridge,Breakfast,Veg,266,22.53,21.43,10.02,5.2,237.67,87.04,5.13,3.69,47.57,51.87,30.36,29.56,30.83,83.25,28.62,35.68,66.16
283,Egg Omelette,Dinner,Non-Veg,126,0.0,11.87,17.46,6.05,261.71,89.71,1.77,0.84,35.3,88.99,70.62,12.07,71.5,39.07,56.71,22.28,39.85
284,Egg Omelette,Dinner,Non-Veg,297,39.68,22.44,5.39,12.09,295.25,42.32,7.88,4.02,45.67,38.79,15.14,30.16,44.96,83.85,45.02,34.8,66.86
285,Vegetable Khichdi,Dinner,Veg,272,27.91,4.79,15.69,3.92,131.1,104.8,3.78,3.34,20.45,9.8,87.74,44.9,83.85,16.12,17.47,25.13,8.89
286,Fish Curry,Dinner,Non-Veg,294,19.39,22.59,14.01,12.14,281.48,24.84,1.73,3.26,40.69,86.59,84.69,44.73,44.65,38.7,88.12,52.23,63.96
287,Vegetable Soup,Dinner,Veg,110,0.0,6.0,24.54,4.18,299.79,80.1,1.95,4.81,85.39,1.16,49.87,61.18,70.45,88.03,36.65,87.87,34.35
288,Paneer Curry,Dinner,Veg,383,76.7,10.14,3.96,9.85,20.72,104.29,4.56,3.59,84.62,79.68,18.4,41.32,86.95,63.16,3.16,6.89,81.44
289,Vegetable Soup,Dinner,Veg,122,0.0,15.25,7.08,5.43,119.72,98.45,6.07,1.3,37.5,39.33,71.07,12.25,65.21,31.23,62.66,51.6,4.17
290,Fruit Salad,Breakfast,Veg,268,0.0,27.45,24.02,13.53,169.77,64.66,2.23,2.93,78.26,51.56,14.15,65.25,61.07,63.09,11.94,6.72,35.75
291,Vegetable Biryani,Lunch,Veg,444,51.55,6.17,23.68,12.76,246.57,49.68,4.58,4.89,50.24,43.46,42.92,1.2,31.35,30.3,46.15,52.16,28.5
292,Idli,Breakfast,Veg,361,25.63,33.23,13.95,5.31,265.14,48.02,6.74,1.94,59.2,77.91,45.87,52.12,8.23,74.33,69.64,34.48,20.35
293,Paneer Curry,Dinner,Veg,150,4.92,9.56,10.23,3.08,160.78,106.15,1.48,1.99,52.04,68.05,88.39,6.84,65.9,64.69,32.92,18.0,30.31
294,Grilled Chicken,Lunch,Non-Veg,419,64.68,3.17,16.4,13.83,126.87,31.43,4.63,4.44,88.81,60.16,7.89,82.04,36.04,22.11,59.98,73.06,31.03
295,Rice and Dal,Lunch,Veg,169,0.0,16.89,15.02,7.16,63.83,60.2,1.72,3.98,34.03,79.43,74.98,13.08,3.78,48.02,58.69,69.52,65.33
296,Oats Porridge,Breakfast,Veg,192,19.97,16.65,5.06,9.8,133.09,13.57,2.59,0.96,48.49,42.24,80.78,49.28,50.56,3.88,74.8,43.29,50.69
297,Paneer Curry,Dinner,Veg,284,55.88,7.61,3.34,2.98,334.85,101.9,0.77,0.7,63.95,79.55,56.2,64.32,85.39,72.21,35.29,44.69,52.8
298,Vegetable Khichdi,Dinner,Veg,204,38.11,7.33,2.47,14.73,249.76,31.93,7.62,4.06,68.99,26.43,40.62,9.74,2.56,26.18,24.45,81.59,65.62
299,Vegetable Upma,Breakfast,Veg,419,62.5,12.19,13.36,13.74,89.2,62.88,5.18,4.24,18.72,24.29,83.45,35.73,48.08,10.59,39.38,82.03,37.08
300,Idli,Breakfast,Veg,202,18.53,15.59,7.28,5.02,218.71,32.15,2.71,0.74,21.67,56.42,53.32,67.05,57.7,56.35,2.86,6.02,20.33
301,Chapati with Curry,Lunch,Veg,429,49.14,32.59,11.34,3.53,142.89,89.82,0.96,3.79,14.27,1.6,41.2,61.2,28.92,54.38,55.29,3.81,56.76
302,Grilled Chicken,Lunch,Non-Veg,416,55.58,25.81,10.05,14.06,204.29,45.26,6.94,1.68,68.51,2.76,20.88,29.17,15.59,24.59,47.44,68.61,65.07
303,Rice and Dal,Lunch,Veg,161,0.0,19.34,15.46,1.26,237.73,97.34,0.88,4.74,56.65,21.57,1.44,70.92,21.13,50.65,37.84,14.41,32.1
304,Rice and Dal,Lunch,Veg,396,43.12,7.93,21.31,6.73,342.98,96.35,2.62,0.31,81.51,74.08,23.68,36.34,63.96,24.65,89.03,16.9,48.75
305,Idli,Breakfast,Veg,407,36.05,10.94,24.34,1.18,178.98,116.4,7.15,0.42,81.97,58.67,75.58,55.41,69.89,78.9,37.65,51.47,77.61
